Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,Senegalese,Population,152,144,143,165,173,167,178,192,202,237,285,295,282,278,256,251,234,220,200,218,215,221,230,229,262,299,303,315,354
Africa,Seychelles,Population,20,26,20,16,12,7,9,7,7,7,7,8,8,4,4,4,7,6,8,7,7,10,8,11,13,11,10,12,17
Africa,Sierra Leonean,Population,168,216,271,315,325,338,351,400,449,488,516,480,487,485,531,609,651,683,1026,934,879,862,878,891,923,1005,989,1030,1042
Africa,Sudanese,Population,546,676,704,868,1093,1113,1212,1114,1089,1054,1019,955,862,758,728,710,662,677,752,722,707,811,966,1027,1293,1531,1557,1466,1539
Africa,Somali,Population,16453,17223,15385,13648,8904,5296,3567,2654,2116,1792,1496,1313,1175,1112,1014,982,921,823,838,1768,2928,3358,3523,3342,3164,3028,2406,2408,2807
Africa,Swazi,Population,5,3,4,5,6,8,21,19,15,15,16,19,19,12,8,6,6,10,6,10,10,11,14,14,,,,,
Africa,Tanzanian,Population,219,228,216,243,267,256,311,304,317,331,354,385,407,388,395,442,402,365,387,310,300,308,276,290,303,327,325,361,430
Africa,Togolese,Population,285,295,270,268,245,236,214,214,211,236,279,285,287,276,279,282,274,270,269,265,250,219,221,214,220,194,175,183,174
Africa,Chadian,Population,9,7,6,5,3,1,2,10,8,9,7,6,8,4,5,6,6,5,7,11,11,12,16,15,24,29,23,25,29
Africa,Tunisian,Population,2124,1881,1591,1537,1442,1312,1300,1276,1242,1312,1307,1293,1238,1200,1192,1165,1131,1110,1081,1102,1053,1038,1056,1135,1238,1394,1387,1468,1690
Africa,Ugandan,Population,154,151,154,163,153,167,184,173,186,224,266,362,408,374,411,447,430,413,440,463,572,685,778,878,1016,1266,1289,1288,1308
Africa,Zambian,Population,115,104,95,110,100,105,139,112,153,190,186,182,199,140,147,158,172,173,187,170,167,160,152,141,159,193,196,215,245
Africa,Zimbabwean,Population,73,63,63,83,95,117,118,143,142,175,172,185,195,219,280,352,365,354,346,311,265,257,257,304,366,445,506,560,770
Africa,South-African,Population,1431,1444,1530,1769,2301,2512,2864,3230,3330,3321,3247,3047,2865,2865,3039,2947,2742,2785,2691,2669,2692,2841,3210,3624,4561,6051,7024,8810,12278
Africa,South Sudanese,Population,,,,,,,,,,,,,,,,,,0,3,6,15,15,19,22,46,84,107,121,129
America,American,Population,12761,12769,12640,12980,13389,14074,14751,15217,15412,15075,14837,14643,14641,14544,14861,14631,14846,15348,15571,15557,16165,17193,18012,19562,20769,22225,21377,22261,24109
America,Citizen of Antigua and Barbuda,Population,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2,2,2,4,5,6,6,8
America,Argentinian,Population,465,424,389,391,368,338,363,421,514,587,620,598,571,538,546,574,572,569,569,609,643,661,727,803,947,1152,1171,1356,1608
America,Bahamian,Population,13,11,7,11,12,7,7,11,7,10,12,10,10,11,9,8,5,6,5,8,10,10,10,11,9,12,17,19,15
America,Barbadian,Population,22,20,19,23,22,22,21,22,19,17,18,21,17,14,10,11,10,11,13,14,13,15,21,20,22,25,22,22,26
America,Belizean,Population,5,3,2,7,8,9,10,10,10,11,10,10,10,6,10,8,5,5,6,4,5,6,6,6,8,17,12,12,12
America,Bolivian,Population,107,108,104,116,114,127,140,147,159,179,187,199,226,227,241,251,246,244,214,210,217,213,200,205,228,250,225,235,252
America,Brazilian,Population,2129,2145,2194,2380,2525,2597,2728,2841,2994,3298,3560,3912,4209,4484,4978,5239,5526,5750,5815,6241,6354,6948,6856,7836,9381,10867,11187,12306,13791
America,Canadian,Population,2616,2574,2604,2702,2743,2892,3130,3398,3435,3456,3458,3403,3324,3391,3542,3545,3631,3676,3770,3792,3958,4167,4255,4444,4642,4814,4604,4723,5159
America,Chilean,Population,1326,1214,1033,968,946,939,909,910,918,925,990,1102,1068,914,904,857,851,899,911,907,925,969,1052,1132,1203,1282,1237,1374,1504
America,Colombian,Population,1669,1569,1584,1718,1848,1790,1636,1668,1743,1919,2065,2113,2063,2027,2090,2168,2227,2210,2161,2206,2144,2142,2230,2325,2619,3060,3139,3597,4035
America,Costa Rican,Population,57,65,80,94,118,121,129,135,141,154,165,173,168,161,168,169,186,187,200,189,208,225,244,271,317,369,383,417,501
America,Cuban,Population,128,170,220,318,396,432,487,473,512,546,571,602,623,599,574,571,561,532,468,458,425,412,374,367,433,461,489,513,523
America,Citizen of Dominica,Population,39,28,20,18,18,19,18,15,12,15,16,13,11,11,12,9,9,8,9,11,10,10,9,7,8,9,10,12,15
America,Dominican,Population,1572,1453,1304,1312,1283,1204,1164,1158,1165,1141,1175,1201,1223,1196,1179,1189,1176,1169,1081,1053,1000,961,927,877,926,979,995,1043,1072
America,Ecuadorian,Population,193,245,333,393,463,463,495,489,531,597,647,693,730,711,719,700,697,677,628,639,648,665,671,655,742,798,718,759,790
America,Grenadan,Population,5,6,1,1,3,3,3,4,4,2,2,3,5,3,2,2,2,1,3,3,3,2,3,4,6,7,6,8,9
America,Guatemalan,Population,42,46,43,49,73,97,129,156,124,108,113,111,110,115,123,115,112,115,120,120,119,110,111,124,157,186,181,205,244
America,Guyanese,Population,424,395,292,284,264,254,253,252,237,218,222,199,191,180,167,151,148,135,122,113,106,110,101,95,96,93,88,93,98
America,Haitian,Population,74,78,70,60,74,128,136,161,200,215,201,168,117,110,155,122,101,57,43,36,50,48,44,47,43,46,56,51,58
America,Honduran,Population,44,46,50,53,57,52,53,57,64,77,83,97,100,95,88,95,99,95,97,102,112,115,111,112,120,139,143,159,175
America,Jamaican,Population,156,153,149,151,166,181,204,181,182,165,163,151,144,136,136,145,146,163,182,195,220,276,331,335,344,364,349,344,337
America,Mexican,Population,410,428,445,505,557,617,674,750,890,998,1082,1087,1147,1206,1350,1438,1579,1680,1734,1834,1914,2097,2297,2511,2866,3129,3159,3431,3900
America,Nicaraguan,Population,86,81,63,56,60,55,49,54,64,78,73,79,80,73,91,89,88,102,116,125,120,124,121,113,117,166,179,203,223
America,Panamanian,Population,87,80,45,45,43,40,43,40,42,42,51,64,78,67,68,59,57,60,64,75,67,73,80,87,99,124,121,123,169
America,Paraguayan,Population,35,33,42,37,37,43,44,42,37,38,38,39,36,35,41,41,44,49,47,55,54,55,54,54,57,62,64,75,79
America,Peruvian,Population,594,545,503,475,501,467,496,588,655,769,892,924,986,1005,1032,1049,1091,1117,1089,1052,979,953,916,958,1112,1235,1225,1396,1648
America,Citizen Saint Kitts and Nevis,Population,1,2,1,3,1,1,1,3,3,3,4,3,5,2,2,3,4,3,3,4,3,1,3,5,5,8,11,15,19
America,Saint Lucian,Population,11,9,7,8,8,10,11,12,15,15,15,15,8,7,8,11,10,9,7,7,7,10,13,10,11,17,14,18,26
America,Salvadoran,Population,123,106,94,92,95,73,60,56,55,59,61,56,58,59,63,61,64,79,77,77,78,81,72,85,129,174,184,246,280
America,Citizen Saint Vincent and Grenadines,Population,11,9,8,8,7,6,5,8,6,5,3,5,6,7,6,5,7,7,7,6,6,5,5,6,7,13,11,11,15
America,Surinamese,Population,18147,15174,12015,11760,10497,8665,8469,8491,8573,9406,9644,8548,7561,7034,6958,6737,6604,6438,6123,5898,5440,5290,5178,5341,5846,6478,6584,6888,7592
America,Citizen of Trinidad and Tobago,Population,96,100,84,97,102,89,95,90,96,94,99,94,89,75,78,77,78,79,78,76,93,97,112,146,179,212,209,214,225
America,Uruguayan,Population,147,129,114,114,99,90,89,89,90,98,88,85,88,89,94,82,71,75,77,81,78,73,91,98,112,151,164,172,210
America,Venezuelan,Population,339,361,377,466,516,578,623,685,710,764,761,765,758,734,762,764,757,754,753,747,768,793,790,889,1066,1322,1394,1517,1629
Asia,Afghan,Population,2983,3913,4579,5275,5364,4395,4203,4259,3997,3923,3848,3818,3810,3550,3309,3234,3323,3399,3894,3449,3144,3446,5033,5501,6138,6533,6448,8156,10577
Asia,Bahraini,Population,5,5,4,4,2,6,6,8,8,8,6,6,7,7,8,7,7,8,10,8,8,14,19,26,42,44,46,48,55
Asia,Bengali,Population,533,514,448,458,405,349,357,354,376,381,392,402,409,375,386,448,487,506,534,561,560,626,778,867,897,1025,1156,1674,2353
Asia,Bhutanese,Population,6,25,28,20,13,13,15,22,29,34,32,38,44,51,46,60,68,56,58,40,36,38,39,31,44,44,33,35,31
Asia,Brunei,Population,31,25,22,28,28,21,11,22,36,29,12,26,32,34,25,20,22,20,15,45,51,55,43,34,41,40,35,27,31
Asia,Cambodian,Population,368,221,152,81,67,62,66,61,66,88,98,91,95,92,90,88,82,68,70,69,86,93,93,92,106,121,116,112,114
Asia,Chinese,Population,7669,7912,7322,7260,7480,7473,7997,9395,11223,13330,14662,15007,15266,16210,18121,19758,21371,23900,25906,27192,28220,29746,31437,33860,36491,39352,38851,40896,43656
Asia,Philippine,Population,2282,2363,2318,2428,2398,2351,2417,2427,2597,2841,3041,3147,3280,3354,3773,3915,4065,4013,4048,4217,4219,4339,4560,4896,5296,5801,5716,6034,6587
Asia,Indian,Population,2905,2748,2523,2803,3082,3234,3361,3417,3416,3592,3745,4322,5381,6409,8033,8744,9562,10776,11718,13122,14701,17113,20442,24904,30597,37426,37099,42068,50787
Asia,Indonesian,Population,8448,8159,7945,7970,8377,8717,9338,10127,10786,11185,11427,11479,11389,11422,11565,11645,11701,11765,11649,11790,12016,12012,12476,12511,12700,13031,12681,13384,14487
