Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Europe,Portuguese,Population,9230,9101,8788,8690,8762,9220,9765,10585,11257,11844,12026,12083,12234,12939,14179,15364,15740,16430,17266,18060,18704,19384,20166,21051,22398,24193,25401,28002,31226
Europe,Romanian,Population,1594,1466,1073,1144,1288,1397,1694,2094,2360,2735,3020,3006,3225,4894,6256,7118,8289,9114,9496,9986,11941,13659,16077,20042,24878,30683,34600,40603,47769
Europe,Russian,Population,1347,1898,2318,2578,2840,3070,3348,3791,4052,4450,4689,4606,4501,4468,4626,4776,5094,5609,6016,6492,7030,7794,8541,9527,10767,12185,12513,13670,18211
Europe,San Marinees,Population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2
Europe,Serbian,Population,,,,,,,,,,,,,0,122,272,785,1214,1673,2116,2170,2232,2333,2492,2621,2796,3084,3139,3268,3329
Europe,Citizen of Serbia and Montenegro,Population,,,,,,,,,,1,104,215,413,393,362,483,257,141,96,90,56,44,38,29,23,21,17,14,18
Europe,Slovenian,Population,95,110,102,111,148,144,165,193,225,235,256,299,356,411,503,562,641,682,774,835,971,1052,1154,1247,1349,1441,1513,1691,1796
Europe,Slovak,Population,118,205,276,357,486,579,719,915,940,983,1239,1560,1876,2178,2666,2844,3414,3629,3749,3941,4389,4754,5127,5699,6289,6856,7295,8191,8967
Europe,Citizen of the Soviet Union,Population,796,720,495,364,302,236,221,207,193,173,167,152,122,101,87,55,48,35,28,21,15,9,9,6,7,5,1,1,0
Europe,Spanish,Population,16831,16663,16559,16634,16828,16943,17155,17449,17505,17418,17124,16851,16468,16532,17348,18132,19233,20294,21940,23883,25333,26773,28285,30331,32726,35624,37433,42054,46910
Europe,Tajik,Population,17,22,21,22,10,13,10,14,16,17,16,17,15,15,20,17,22,24,25,34,36,40,51,48,51,54,60,63,123
Europe,Czech,Population,243,350,521,665,842,887,1057,1285,1342,1448,1707,1880,2007,2242,2519,2602,2854,2954,3003,3170,3396,3525,3672,3897,4144,4464,4597,5053,5479
Europe,Czechoslovakian,Population,427,336,224,188,165,127,117,97,92,77,69,57,50,48,47,22,15,12,10,7,3,2,2,2,2,0,0,0,0
Europe,Turkmen,Population,7,7,9,9,4,4,5,6,15,15,22,18,21,20,22,28,25,29,29,29,32,30,33,34,36,47,54,71,458
Europe,Turkish,Population,182089,154310,127032,114696,102003,100688,100782,100309,100286,101845,100574,98920,96779,93746,92698,90837,88028,84830,81934,80054,77540,75423,74138,73837,74834,76963,77264,80216,87558
Europe,Vatican,Population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,Swedish,Population,2246,2234,2362,2457,2723,2943,3077,3149,3147,3120,3132,3158,3208,3287,3389,3571,3659,3768,3780,3822,3958,4206,4406,4619,4849,5195,5162,5588,6019
Europe,Swiss,Population,2062,2038,1929,1929,1866,1944,1934,1909,1906,1885,1904,1915,1926,1968,2013,2078,2180,2225,2201,2218,2269,2361,2492,2649,2810,2956,3033,3349,3531
Oceania,Australian,Population,2038,2013,1970,2031,2244,2522,2802,3201,3352,3383,3333,3213,3179,3097,3090,2982,3030,3009,2943,2933,3034,3289,3532,3720,3931,4148,3709,3584,3900
Oceania,Fijian,Population,8,9,9,6,9,12,14,14,13,11,15,11,9,8,8,10,6,7,11,11,12,13,14,18,17,19,18,19,25
Oceania,Kiribati,Population,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1
Oceania,Marshall Islands,Population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Micronesian,Population,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Oceania,Nauruan,Population,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Oceania,New Zealand,Population,539,499,459,487,508,616,777,925,962,941,960,928,874,857,856,828,844,841,872,855,887,974,1007,1116,1216,1297,1209,1180,1267
Oceania,Palau,Population,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Oceania,Papua New Guinean,Population,2,2,5,4,6,9,12,5,7,4,5,5,7,3,5,4,5,5,3,5,3,3,5,3,6,4,4,5,5
Oceania,Solomon Islands,Population,1,2,1,8,8,1,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1
Oceania,Samoan,Population,1,2,3,3,2,2,1,2,1,1,1,4,3,1,1,1,2,7,12,13,13,9,0,0,0,0,0,5,7
Oceania,Tongan,Population,7,7,2,4,3,4,6,2,2,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Tuvaluan,Population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oceania,Vanuatu,Population,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
