Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
America,Saint Pierre and Miquelon,Immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
America,Saint Vincent and the Grenadines,Immigration,2,4,2,4,3,4,7,8,2,1,3,2,3,5,1,4,3,1,5,3,2,2,2,5,9,2,4,4
America,Saint Lucia,Immigration,0,2,3,6,6,2,10,6,3,4,3,1,1,6,15,6,3,1,9,8,6,7,6,9,10,3,8,5
America,Sint Maarten (Dutch part),Immigration,,,,,,,,,,,,,,,,0,0,4,4,8,7,18,66,25,32,302,345,333
America,Suriname,Immigration,2915,3870,3790,4990,3573,3953,3909,3713,3702,3111,2471,2183,2385,2738,2715,2703,2707,2446,2319,2269,2373,2647,3179,3551,3731,2932,2865,3280
America,Trinidad and Tobago,Immigration,29,26,45,32,22,43,32,34,28,18,23,19,25,34,29,25,42,29,22,49,48,51,70,70,82,40,48,57
America,Turks and Caicos Islands,Immigration,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
America,Uruguay,Immigration,26,33,42,34,27,37,46,34,47,22,29,37,46,53,40,38,59,52,68,68,61,69,58,93,152,94,125,193
America,Venezuela,Immigration,119,176,207,203,231,262,298,260,268,211,204,196,214,296,300,329,314,376,314,392,414,424,558,732,862,675,887,935
America,United States,Immigration,2406,3108,3134,3398,3445,3511,3220,3149,2772,2497,2652,3313,3443,3742,3413,3699,4112,4157,3966,4282,5104,5215,6180,6551,6788,5156,5245,6445
Asia,Afghanistan,Immigration,1495,2867,3686,3989,5597,4695,4554,2867,1862,878,784,663,538,643,1138,1709,1819,1389,1316,958,1023,2505,1268,1340,1116,1016,2737,3766
Asia,Bahrain,Immigration,5,3,3,5,10,9,9,7,4,9,2,5,6,10,5,6,21,13,7,20,22,28,32,41,31,27,36,36
Asia,Bangladesh,Immigration,49,60,67,54,61,68,71,93,57,45,59,79,48,91,116,126,127,134,179,162,199,315,339,253,309,397,752,1022
Asia,Bhutan,Immigration,21,11,10,4,5,10,17,13,16,14,32,26,35,56,110,115,96,20,25,13,19,13,11,23,12,3,11,11
Asia,Brunei,Immigration,19,27,38,22,37,18,29,33,15,16,25,19,22,22,14,19,25,20,48,26,23,26,24,26,32,16,23,20
Asia,Cambodia,Immigration,11,9,17,16,7,27,47,45,29,23,11,18,30,24,22,24,17,25,24,34,30,25,32,41,52,26,49,33
Asia,China,Immigration,1500,1566,1836,1992,1928,2722,3723,3997,4080,3550,3226,3103,3741,4750,4791,4858,5877,5493,5070,5132,5668,5976,6739,7161,7909,4769,6381,6525
Asia,Philippines,Immigration,591,703,675,631,562,651,687,711,655,567,607,659,734,1121,1110,1081,993,1003,1138,1120,1125,1232,1447,1556,1684,1375,1661,1871
Asia,Gaza Strip and West Bank,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,87,95,101,102
Asia,Hong-Kong,Immigration,234,205,198,167,186,169,176,183,153,157,162,207,200,205,197,251,233,220,261,269,344,378,396,337,333,210,194,157
Asia,India,Immigration,601,707,831,1018,863,799,833,753,749,686,1331,2136,2663,3602,3252,3362,3989,4158,4674,5291,6390,7555,8921,10884,12576,6226,10028,14816
Asia,Indonesia,Immigration,2027,2118,2257,2856,2618,2741,2834,2685,2430,2177,2038,2154,2292,2426,2257,2365,2497,2202,2386,2484,2537,2937,2760,2831,2811,2225,2698,3019
Asia,Iraq,Immigration,3008,4688,6163,7431,3455,4547,3186,1580,1352,1206,1091,1314,2322,4227,3871,2331,2105,2050,2000,1805,1823,3727,2309,2130,1909,1513,1671,1791
Asia,Iran,Immigration,2661,2847,1702,1156,1161,1761,2207,1454,936,685,590,697,861,1038,1308,1498,1876,1557,1590,1211,1290,2678,2022,2352,3728,2128,2636,3565
Asia,Israel,Immigration,254,371,372,404,396,440,480,636,573,419,386,371,364,438,379,320,395,422,440,506,659,588,644,726,724,486,669,786
Asia,Japan,Immigration,1300,1389,1294,1222,1305,1305,1311,1331,1258,1251,1169,1197,1195,1219,1087,1059,1158,1143,1068,1160,1269,1558,1420,1540,1763,1073,1421,1750
Asia,Yemen,Immigration,37,67,36,57,45,71,73,63,27,22,21,20,22,25,34,52,44,35,52,66,91,118,178,301,702,659,919,1424
Asia,Jordan,Immigration,58,70,52,79,60,74,62,59,72,48,41,51,31,55,49,48,55,68,64,106,210,195,207,203,274,226,272,361
Asia,Qatar,Immigration,1,5,10,5,1,1,2,1,0,3,5,2,7,13,8,7,15,10,32,25,85,86,55,62,68,34,68,84
Asia,Kuwait,Immigration,170,227,193,160,98,147,95,61,61,44,46,42,52,74,59,73,72,92,120,150,225,292,193,151,145,114,143,223
Asia,Laos,Immigration,0,2,8,4,6,8,10,9,11,3,7,4,3,14,11,20,24,9,7,5,5,11,10,13,8,6,5,12
Asia,Lebanon,Immigration,210,156,174,160,202,291,238,204,152,115,130,208,146,157,171,118,159,149,205,189,360,478,477,381,509,547,709,1036
Asia,Macau,Immigration,6,10,4,6,17,17,10,6,7,2,6,7,4,9,10,16,8,6,17,19,16,21,13,18,17,13,8,8
Asia,Maldives,Immigration,1,0,2,0,0,2,1,1,0,1,5,1,1,1,0,0,0,0,0,2,2,6,2,4,1,1,6,4
Asia,Malaysia,Immigration,156,178,162,216,192,207,223,235,227,152,174,309,261,290,267,298,269,329,293,296,333,331,334,358,442,295,335,449
Asia,Mongolia,Immigration,4,14,12,20,31,92,186,155,119,74,42,46,56,76,91,121,69,54,32,47,73,73,50,33,43,29,35,45
Asia,Myanmar,Immigration,29,21,7,19,20,25,103,57,30,23,19,108,68,133,97,167,130,110,83,75,60,52,85,60,83,39,77,90
Asia,Nepal,Immigration,52,62,60,77,82,81,66,106,137,120,415,271,169,207,289,240,257,210,208,248,212,214,205,179,181,133,176,247
Asia,North Korea,Immigration,0,2,2,2,2,7,7,4,3,5,3,2,4,5,1,10,19,25,28,49,1,1,3,3,3,1,1,2
