Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,Ivory Coast,Immigration,32,26,31,35,36,40,91,126,166,157,82,121,114,116,130,136,147,106,74,69,57,44,71,60,83,57,63,86
Africa,Cape Verde,Immigration,251,359,377,373,250,221,286,282,323,261,226,203,224,312,289,232,248,240,240,233,219,194,219,239,273,178,232,241
Africa,Cameroon,Immigration,55,98,111,128,124,153,321,390,276,231,191,164,164,165,205,190,162,151,119,102,118,114,136,157,160,142,161,202
Africa,Kenya,Immigration,137,155,199,177,184,197,155,175,173,160,161,209,166,276,291,237,287,256,265,272,263,319,305,349,333,293,340,413
Africa,Lesotho,Immigration,2,5,8,2,3,5,5,6,3,6,4,9,12,8,3,10,8,9,8,8,10,5,5,9,6,6,2,7
Africa,Liberia,Immigration,254,263,312,153,95,144,188,168,193,201,171,74,81,70,69,65,50,42,46,42,51,34,44,64,85,74,64,79
Africa,Libya,Immigration,27,46,41,46,53,64,85,74,76,62,50,39,63,74,109,148,177,91,110,283,540,222,146,151,170,110,140,196
Africa,Madagascar,Immigration,7,15,6,12,11,11,12,5,6,12,9,4,7,8,6,12,16,11,16,20,16,17,18,20,17,19,17,23
Africa,Malawi,Immigration,11,8,22,18,17,19,20,19,12,9,7,18,18,24,22,17,16,18,15,17,21,19,31,25,30,16,20,17
Africa,Mali,Immigration,8,14,17,16,16,24,16,26,15,17,9,7,15,7,16,11,12,11,26,8,14,7,13,14,25,14,29,25
Africa,Morocco,Immigration,3352,4756,5163,5833,4972,4776,5568,5507,5220,3972,2658,2488,2249,2740,3037,3142,3487,3123,3135,3241,2733,3139,3521,4262,4577,3495,3782,4815
Africa,Mauritania,Immigration,48,32,42,57,64,62,53,51,19,12,4,7,5,13,6,5,20,9,9,15,11,5,9,15,7,7,10,12
Africa,Mauritius,Immigration,19,10,16,13,13,13,13,24,12,23,11,12,25,26,22,19,18,24,18,27,20,31,36,55,45,26,52,44
Africa,Mayotte,Immigration,0,1,0,0,2,2,4,1,5,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2,2,0,0,1
Africa,Mozambique,Immigration,36,41,46,51,48,62,68,51,45,39,41,51,46,70,53,42,57,46,44,50,39,39,45,39,76,62,68,76
Africa,Namibia,Immigration,8,22,23,26,26,49,27,27,33,25,26,29,24,36,27,29,36,27,35,26,32,32,60,65,90,88,93,115
Africa,Niger,Immigration,13,28,27,19,24,45,71,133,113,43,25,20,27,19,32,28,13,7,10,17,17,11,12,11,15,11,16,9
Africa,Nigeria,Immigration,232,471,534,602,479,448,485,530,596,458,604,507,533,637,722,696,712,565,598,626,558,485,635,832,1278,812,1370,2814
Africa,Reunion,Immigration,2,10,2,7,1,2,5,5,7,1,1,1,0,0,1,4,6,2,6,4,3,5,2,2,6,4,4,4
Africa,Rwanda,Immigration,93,52,94,106,205,273,228,152,119,41,63,63,48,64,77,80,64,74,81,91,56,52,69,65,97,50,67,158
Africa,Sao Tome and Principe,Immigration,6,8,4,12,2,4,0,10,10,12,4,3,5,13,9,8,9,10,8,12,5,6,12,8,8,16,11,20
Africa,Senegal,Immigration,40,60,66,79,60,72,80,69,69,97,66,49,55,51,58,63,58,69,77,53,59,88,83,96,106,85,109,103
Africa,Seychelles,Immigration,7,1,3,3,1,4,1,1,3,0,3,2,6,3,3,4,2,5,3,3,5,3,10,3,3,3,12,6
Africa,Sierra Leone,Immigration,89,189,177,229,449,816,1624,2050,683,224,135,128,141,243,247,197,165,204,167,168,116,132,155,168,152,132,167,148
Africa,Saint Helena,Immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Africa,Sudan,Immigration,202,310,716,1033,893,1546,1417,811,404,187,191,159,156,191,204,273,372,255,272,406,515,585,416,542,443,320,321,410
Africa,Somalia,Immigration,2993,3543,1678,1443,1809,2340,1870,1179,595,542,590,850,1556,2670,5321,4476,2465,1054,2953,1888,1045,972,903,995,957,804,925,1330
Africa,Swaziland,Immigration,2,1,7,3,6,16,6,4,3,11,6,5,1,2,3,1,7,2,8,3,8,6,7,6,,,,
Africa,Tanzania,Immigration,74,101,116,119,96,117,121,131,115,128,131,165,185,149,166,122,107,108,120,103,130,102,130,133,129,92,104,135
Africa,Togo,Immigration,58,64,83,96,108,134,256,306,198,133,80,61,41,66,69,52,57,50,29,40,32,46,30,37,25,32,31,42
Africa,Chad,Immigration,3,3,3,1,8,5,45,28,5,1,5,3,4,8,4,1,4,0,2,8,4,8,4,7,12,6,11,7
Africa,Tunisia,Immigration,214,189,260,236,221,270,229,199,256,179,158,150,136,203,181,181,208,212,237,252,235,274,351,390,434,283,335,531
Africa,Uganda,Immigration,59,67,81,103,90,79,120,123,118,144,173,140,151,176,178,213,157,186,276,256,241,248,219,322,427,256,251,284
Africa,Zambia,Immigration,49,67,81,72,83,77,55,99,105,68,54,76,68,74,59,72,72,82,59,61,64,84,66,69,102,78,72,103
Africa,Zimbabwe,Immigration,41,67,92,92,107,99,130,88,103,61,70,68,110,160,168,134,137,111,116,114,121,143,217,196,300,230,210,316
Africa,South Africa,Immigration,522,893,1020,1628,1282,1290,1353,1054,883,782,695,774,911,1238,1017,934,1011,960,1004,1103,1333,1693,1778,2588,3420,2951,3817,5797
Africa,Southern Sudan,Immigration,,,,,,,,,,,,,,,,,0,0,0,2,4,2,4,7,9,4,3,0
Oceania,American Samoa,Immigration,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
Oceania,Antarctica,Immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Australia,Immigration,453,550,528,709,833,859,1027,951,812,723,778,842,899,979,938,989,1010,959,1038,1092,1334,1466,1523,1654,1711,1048,728,1168
Oceania,Cook Islands,Immigration,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Fiji,Immigration,6,5,6,7,12,12,4,10,3,1,1,7,4,5,6,7,5,11,11,4,5,11,6,5,15,4,9,14
Oceania,French Polynesia,Immigration,0,0,2,1,1,3,1,0,0,1,2,1,2,1,2,0,2,5,2,3,7,3,4,8,9,7,10,3
Oceania,Guam,Immigration,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0
Oceania,Kiribati,Immigration,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0
Oceania,Marshall Islands,Immigration,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oceania,Micronesia,Immigration,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0
Oceania,Nauru,Immigration,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
Oceania,New Caledonia,Immigration,0,1,1,2,2,2,2,1,0,2,3,1,4,0,1,3,2,3,0,0,3,4,3,12,8,4,9,6
Oceania,New Zealand,Immigration,144,219,249,260,314,419,400,292,242,228,232,263,301,345,311,320,347,310,355,362,421,451,516,558,560,334,229,354
Oceania,Niue,Immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Northern Mariana Islands,Immigration,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Oceania,Norfolk,Immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Palau,Immigration,0,1,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
Oceania,Papua New Guinea,Immigration,2,13,9,16,4,5,7,8,14,16,13,10,10,10,8,1,1,5,3,7,4,8,4,5,2,13,7,3
Oceania,Pitcairn Islands,Immigration,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Solomon Islands,Immigration,1,0,7,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Oceania,Samoa,Immigration,3,1,4,0,2,0,1,3,0,0,3,1,1,3,1,3,6,4,1,0,0,1,1,3,2,0,1,2
Oceania,Tokelau,Immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Tonga,Immigration,1,0,3,0,3,3,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,1,3,0,2,0
Oceania,Tuvalu,Immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oceania,Vanuatu,Immigration,1,1,0,0,0,2,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,1,5,1,1,0,1,0
Oceania,Far Islands of the US,Immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Wallis and Futuna,Immigration,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
America,American virgin islands,Emigration,0,0,1,0,4,1,1,1,2,0,0,0,3,1,0,0,3,0,1,1,0,2,1,1,-1,1,0,4
America,Anguilla,Emigration,3,0,0,2,2,2,0,1,1,4,6,2,-1,3,0,-1,3,1,0,1,3,0,1,2,0,1,1,0
America,Antigua and Barbuda,Emigration,-1,2,1,0,0,0,3,1,0,3,0,4,1,3,2,-1,0,1,6,4,3,3,2,0,2,1,0,1
America,Argentina,Emigration,125,136,126,118,133,91,109,118,158,187,214,290,248,236,179,303,299,269,299,316,355,358,384,407,478,517,450,626
America,Aruba,Emigration,55,29,49,48,59,72,86,125,143,132,163,122,90,115,150,168,259,335,375,287,356,342,350,339,306,425,552,647
America,Bahamas,Emigration,3,5,1,1,8,4,2,9,2,0,6,1,3,4,2,3,2,7,1,7,5,3,9,9,3,5,2,8
America,Barbados,Emigration,-1,7,8,6,3,3,7,6,6,1,5,4,6,3,4,5,3,10,6,1,6,8,9,5,9,7,12,2
America,Belize,Emigration,2,1,0,3,2,0,2,1,-1,2,1,2,1,1,0,4,4,2,1,1,0,0,2,3,4,5,6,3
America,Bermuda,Emigration,0,3,2,5,1,2,2,2,2,3,3,1,2,0,1,3,5,2,5,3,3,1,3,7,9,7,7,7
America,Bolivia,Emigration,24,22,24,25,25,33,22,39,35,38,34,43,43,36,48,62,41,68,61,43,48,50,52,60,55,71,56,57
America,Brazil,Emigration,309,381,377,352,351,371,348,483,440,544,588,666,774,811,921,993,1069,1149,1378,1596,1525,1823,1490,1544,1727,1736,1661,1792
America,British Virginislands,Emigration,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,4,-1,1,1,0,0,1,3,1,0,4,3,0
America,Canada,Emigration,427,497,446,505,517,536,510,614,613,571,679,787,728,719,824,789,893,869,1055,870,987,1079,1174,1221,1190,1130,746,720
America,Caribbean Netherlands,Emigration,,,,,,,,,,,,,,,,0,0,0,1,2,3,3,11,5,7,143,118,145
America,Cayman Islands,Emigration,0,0,0,0,2,0,1,1,0,1,2,2,0,2,2,0,0,1,0,0,0,1,0,1,2,0,2,2
America,Chili,Emigration,123,131,116,90,99,123,82,138,110,146,209,333,281,163,194,134,139,187,208,221,246,229,264,274,282,350,211,312
America,Colombia,Emigration,246,242,245,267,274,198,192,255,315,322,457,534,424,424,420,543,655,652,685,656,707,670,716,729,706,697,606,749
America,Costa Rica,Emigration,15,19,19,27,21,29,40,30,36,22,37,40,63,35,45,49,36,68,74,47,69,75,43,63,91,70,62,68
America,Cuba,Emigration,22,47,32,54,61,45,66,54,70,73,70,82,60,72,55,55,59,80,73,85,103,90,73,83,55,55,69,90
America,Curacao,Emigration,,,,,,,,,,,,,,,,0,0,9,27,21,35,44,35,63,71,1153,1423,1613
America,Dominica,Emigration,3,4,3,0,3,3,5,5,2,8,11,6,7,2,8,2,7,4,5,2,5,6,1,4,5,4,4,5
America,Dominican Republic,Emigration,379,325,303,270,302,276,266,359,354,399,436,541,344,415,329,403,451,580,521,471,473,473,456,406,351,254,301,386
America,Ecuador,Emigration,29,38,41,52,48,38,56,53,55,82,84,94,129,131,100,150,149,178,171,152,178,191,214,203,205,206,185,206
America,El Salvador,Emigration,11,14,4,4,18,11,7,8,20,5,11,11,16,11,14,10,23,13,18,8,25,33,22,25,28,27,25,31
America,Falkland Islands,Emigration,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
America,French Guyana,Emigration,20,20,32,24,24,12,8,31,39,42,58,91,54,51,31,46,56,38,44,61,37,25,47,34,32,23,22,29
America,Grenada,Emigration,3,4,1,1,3,1,1,3,2,0,1,2,4,2,-1,3,-1,1,3,2,3,1,3,2,1,3,0,2
America,Greenland,Emigration,3,2,2,0,3,2,2,0,0,1,0,0,1,0,1,0,0,1,0,5,1,2,4,0,1,0,3,4
America,Guadeloupe,Emigration,14,18,6,14,10,8,10,12,23,17,20,26,26,10,25,30,18,7,23,17,14,15,15,21,16,18,17,22
America,Guatemala,Emigration,6,8,2,3,30,15,17,13,21,19,18,30,26,25,38,29,38,29,26,36,30,37,42,29,38,41,35,36
America,Guyana,Emigration,67,52,63,57,39,45,45,50,58,44,69,73,72,46,36,28,59,38,42,54,51,52,40,52,23,18,16,32
America,Haiti,Emigration,12,8,7,7,7,16,5,9,12,11,16,16,23,32,15,19,18,23,28,20,19,10,22,21,24,22,24,33
America,Honduras,Emigration,7,6,7,13,12,3,14,6,15,21,14,11,26,25,9,21,12,15,14,16,18,25,23,28,28,32,28,35
America,Jamaica,Emigration,51,63,52,51,45,39,54,47,35,34,53,66,49,32,29,33,36,46,32,52,44,51,40,50,37,27,40,47
America,Martinique,Emigration,5,8,5,9,2,6,8,3,6,4,7,14,7,5,14,4,4,3,9,8,12,9,9,8,6,14,8,7
America,Mexico,Emigration,75,101,87,105,114,124,139,184,182,193,228,293,266,300,295,332,379,429,462,492,511,556,586,632,697,654,561,708
America,Montserrat,Emigration,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,-1,0,0,2,0,1,1,-1,2,2
America,Netherlands Antilles (old),Emigration,4631,3829,3371,2724,2985,2686,3164,4170,5291,5652,5562,4889,3981,3638,3093,3647,3807,4238,4106,3450,3290,3117,2624,2370,2149,0,0,0
America,Nicaragua,Emigration,20,21,19,14,21,17,9,5,13,16,14,17,20,11,5,16,14,23,33,26,21,23,18,23,31,13,17,30
America,Panama,Emigration,6,9,12,10,5,9,17,10,17,7,10,13,20,22,21,12,15,8,27,16,20,19,21,14,21,17,24,30
America,Paraguay,Emigration,5,9,16,15,11,12,6,5,5,8,12,11,12,4,8,13,3,11,3,11,14,21,21,21,12,21,14,22
America,Peru,Emigration,77,80,53,71,69,68,69,77,97,113,144,178,215,238,201,202,230,256,288,211,225,244,242,258,265,230,241,226
America,Puerto Rico,Emigration,9,6,10,5,9,7,6,1,12,11,5,10,14,16,10,7,10,10,20,10,14,22,12,25,22,29,22,14
America,Saint Kitts and Nevis,Emigration,1,2,1,1,1,2,5,4,4,10,10,4,7,3,6,9,3,2,8,8,8,4,0,1,1,1,1,3
America,Saint Pierre and Miquelon,Emigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
America,Saint Vincent and the Grenadines,Emigration,2,1,3,1,1,2,0,3,5,1,3,1,3,3,1,2,2,2,0,4,3,0,2,4,2,6,3,2
America,Saint Lucia,Emigration,0,0,0,1,0,3,0,5,6,4,2,10,8,7,5,3,6,5,1,3,4,7,8,2,1,3,2,9
America,Sint Maarten (Dutch part),Emigration,,,,,,,,,,,,,,,,0,0,1,2,2,3,3,11,13,9,113,128,137
America,Suriname,Emigration,2504,2866,2843,2276,2169,1708,1549,2286,2646,2467,3142,3678,2975,2671,1955,2482,2729,3426,3239,3241,3015,2581,2191,1879,1688,969,1100,1584
America,Trinidad and Tobago,Emigration,24,35,17,15,25,15,23,24,27,14,13,35,42,28,15,33,40,31,21,24,31,23,25,27,25,23,41,25
America,Turks and Caicos Islands,Emigration,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
America,Uruguay,Emigration,29,34,28,23,31,35,24,19,27,36,29,36,34,39,61,66,43,46,50,59,53,51,56,48,47,56,55,98
America,Venezuela,Emigration,59,120,85,111,74,111,85,108,118,172,164,169,166,169,148,211,228,239,240,217,260,265,279,298,286,272,307,357
America,United States,Emigration,2210,2782,2647,2720,2766,2659,2689,2819,2881,2625,2760,3304,3512,3180,3280,3243,3625,3683,3915,3429,3946,4073,4249,4854,4826,4993,3864,4103
Asia,Afghanistan,Emigration,19,102,51,109,195,224,282,423,710,724,1291,1419,1139,1007,897,1081,1206,1291,1224,1202,1210,916,980,869,746,420,534,535
Asia,Bahrain,Emigration,4,3,3,4,1,3,8,7,6,5,8,7,5,7,6,5,8,9,13,13,16,14,8,10,17,14,15,18
Asia,Bangladesh,Emigration,18,14,26,23,15,24,21,25,30,53,46,70,76,73,79,87,108,105,138,136,150,145,211,197,145,187,191,285
Asia,Bhutan,Emigration,3,5,15,11,2,6,9,4,11,13,14,14,23,34,30,34,34,16,45,19,26,20,24,21,24,26,13,18
Asia,Brunei,Emigration,29,39,26,18,23,28,14,15,28,24,16,27,10,34,29,20,30,29,10,18,31,38,37,14,29,24,29,11
Asia,Cambodia,Emigration,3,11,1,13,6,8,13,17,10,11,15,11,10,12,16,16,11,9,14,18,9,22,13,14,21,7,21,16
Asia,China,Emigration,573,767,689,606,633,573,609,1071,1327,1632,2001,2584,2253,1929,2363,2879,3304,3517,3652,4016,3876,4411,4506,4499,4830,5176,4193,3522
Asia,Philippines,Emigration,262,351,350,327,329,281,295,277,298,295,346,398,492,544,683,702,741,630,703,702,704,679,689,729,788,745,748,843
Asia,Gaza Strip and West Bank,Emigration,,,,,,,,,,,,,,,,,,,,,,,,,17,22,32,26
Asia,Hong-Kong,Emigration,316,258,284,245,204,183,160,158,206,152,208,314,242,258,260,252,355,295,283,290,299,357,366,376,306,283,171,180
Asia,India,Emigration,469,564,446,484,529,462,492,561,539,538,727,1109,1680,2023,2464,2526,2704,3091,3212,3251,3767,4027,4281,4998,5671,5149,4140,4057
Asia,Indonesia,Emigration,2618,2709,2387,2256,2174,2089,2067,2531,2610,2537,2921,3074,2996,2760,2281,2320,2540,2396,2348,2375,2466,2454,2480,2469,2278,1957,1698,1991
Asia,Iraq,Emigration,139,254,264,394,740,666,971,1822,1306,1353,1948,2114,1658,1297,1858,2520,2543,2588,2417,1595,1662,1399,1426,1189,1224,869,1056,917
Asia,Iran,Emigration,331,461,488,374,361,344,415,622,923,828,879,788,467,561,619,730,779,799,810,754,789,784,944,949,828,789,815,764
Asia,Israel,Emigration,313,441,295,306,276,331,253,240,356,319,449,461,473,444,381,403,489,461,388,425,460,451,445,478,370,385,400,429
Asia,Japan,Emigration,1325,1456,1308,1192,1321,1210,1199,1418,1251,1288,1231,1317,1296,1182,1468,1173,1195,1156,1227,1133,1086,1171,1248,1356,1324,1377,1098,1176
Asia,Yemen,Emigration,7,12,11,9,13,24,23,20,58,72,41,63,35,13,50,17,20,28,49,21,31,20,28,28,37,37,44,45
Asia,Jordan,Emigration,33,61,10,46,42,36,18,67,55,45,75,73,35,52,53,56,60,75,69,63,75,54,58,53,67,75,83,83
Asia,Qatar,Emigration,1,2,0,0,2,1,3,0,4,3,1,3,5,2,8,5,10,4,14,13,19,41,48,17,32,29,22,19
Asia,Kuwait,Emigration,19,30,29,48,55,64,41,135,143,150,171,152,142,80,131,97,95,89,103,83,119,82,79,91,64,55,88,89
Asia,Laos,Emigration,4,5,3,1,1,6,3,2,11,2,1,3,3,6,1,8,1,3,6,12,9,5,11,3,7,2,9,6
Asia,Lebanon,Emigration,110,140,134,121,102,129,128,145,178,160,173,134,152,154,195,184,197,160,173,169,161,130,159,170,163,131,189,174
Asia,Macau,Emigration,12,7,3,1,5,3,6,10,5,11,5,11,10,11,10,13,10,12,13,11,22,17,14,15,13,11,10,10
Asia,Maldives,Emigration,0,0,0,2,0,0,0,0,0,5,2,0,3,0,0,1,0,0,0,1,1,0,1,3,1,3,0,2
Asia,Malaysia,Emigration,137,165,172,135,105,179,134,138,129,171,177,179,174,255,221,369,276,271,269,271,262,237,253,261,296,281,214,205
Asia,Mongolia,Emigration,7,0,7,4,20,6,17,64,86,90,89,79,39,40,44,58,97,70,50,44,41,51,47,55,28,17,31,9
Asia,Myanmar,Emigration,6,5,11,10,1,8,2,8,7,21,16,17,16,17,18,18,21,29,34,35,25,34,33,41,37,43,17,27
Asia,Nepal,Emigration,16,20,30,46,58,34,79,63,41,53,79,200,168,139,90,157,171,158,168,104,162,160,171,153,152,104,124,73
Asia,North Korea,Emigration,0,0,0,0,0,0,-1,1,1,4,1,6,2,2,0,3,1,6,7,24,26,4,5,4,8,4,4,0
Asia,Oman,Emigration,11,17,8,13,18,38,36,22,38,16,34,44,40,42,56,18,20,39,31,56,49,67,86,88,97,95,58,54
Asia,Pakistan,Emigration,617,674,608,605,534,498,523,527,622,819,955,1155,1090,940,613,849,826,950,829,887,865,712,717,700,723,670,603,575
Asia,Saudi Arabia,Emigration,13,19,54,55,26,28,31,25,61,69,106,90,80,103,153,220,230,196,237,228,213,187,251,274,226,243,207,218
Asia,Singapore,Emigration,116,132,109,141,114,149,109,83,107,110,128,172,201,151,186,226,245,253,299,314,340,386,438,491,571,515,259,336
Asia,Sri Lanka,Emigration,144,251,188,216,240,264,232,269,437,464,536,564,368,290,234,273,258,269,255,204,297,250,207,160,191,150,141,128
Asia,Syria,Emigration,35,91,68,77,60,66,78,176,243,201,273,210,107,64,154,156,164,140,140,214,391,517,781,686,563,472,639,909
Asia,Taiwan,Emigration,96,96,94,136,146,173,176,153,207,200,258,387,323,347,368,380,432,411,416,339,387,428,555,550,604,732,450,428
Asia,Thailand,Emigration,142,193,181,195,170,179,246,264,276,309,352,480,423,440,432,445,423,525,537,534,539,533,510,553,539,519,424,527
Asia,Timor Leste,Emigration,,,,,,,,0,0,0,0,0,2,0,0,2,2,1,0,3,2,0,0,1,0,0,0,0
Asia,United Arab Emirates,Emigration,9,8,127,345,94,31,27,13,43,26,31,36,30,37,32,29,53,30,53,63,66,80,55,76,96,132,148,160
Asia,Vietnam,Emigration,113,113,120,121,149,165,149,212,232,302,374,451,465,340,335,414,332,367,367,350,347,388,460,504,607,611,462,507
Asia,South Korea,Emigration,189,137,166,211,165,204,255,205,270,295,354,388,467,438,528,541,666,770,838,777,976,1004,1227,1301,1308,1376,739,769
Europe,Albania,Emigration,14,16,16,19,14,25,23,38,33,68,43,49,49,27,67,98,86,100,103,109,140,143,258,203,202,221,225,225
Europe,Andorra,Emigration,0,0,1,1,0,0,0,0,1,1,1,2,1,2,2,2,1,0,0,2,5,3,2,6,7,2,8,9
Europe,Armenia,Emigration,0,2,1,4,0,1,2,13,9,13,12,2,-2,2,5,10,15,37,31,31,52,52,33,35,33,125,184,215
Europe,Azerbaijan,Emigration,0,0,0,0,3,1,1,9,27,12,10,0,-2,5,3,6,7,14,5,26,23,50,47,58,59,180,166,202
Europe,Belgium,Emigration,1616,1743,1594,1690,1647,1734,1774,1905,1931,2034,2026,1978,1919,2036,1827,1903,1989,2127,2160,2217,2136,2226,2348,2479,2514,2526,2637,2888
Europe,Bosnia and Herzegovina,Emigration,6,7,3,6,10,37,18,20,25,28,21,8,11,8,5,14,9,10,24,20,33,27,32,30,55,364,328,371
Europe,Bulgaria,Emigration,64,90,64,88,103,95,89,113,165,171,222,268,806,1562,2339,2611,2863,4308,4414,3281,2937,3029,3051,3174,3812,4406,4737,5458
Europe,Cyprus,Emigration,20,19,20,12,23,12,10,22,21,31,37,26,31,42,46,49,50,73,98,110,101,130,139,171,201,252,195,220
Europe,Denmark,Emigration,308,283,312,310,302,378,349,346,325,368,354,314,397,401,382,359,401,436,461,406,470,479,530,598,590,632,472,615
Europe,Germany,Emigration,5090,6095,5212,5188,5014,4906,4865,5438,5246,5602,5468,5951,5671,5813,6351,6932,8141,8958,8762,8999,8351,8646,8816,8996,9168,9088,8349,8865
Europe,Estonia,Emigration,5,8,14,10,3,18,10,13,18,28,47,65,35,45,58,128,177,247,180,194,181,185,144,198,184,314,242,232
Europe,Faroe Islands,Emigration,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,2,2,4,1,3
Europe,Federal Republic of Yugoslavia,Emigration,0,1,1,0,12,39,24,58,8,,,,,,,,,,,,,,,,,,,
Europe,Finland,Emigration,254,271,306,332,400,382,372,363,361,380,369,425,380,356,434,437,540,636,581,623,596,726,829,886,925,968,637,719
Europe,France,Emigration,1171,1338,1259,1347,1339,1429,1473,1777,1752,1848,1647,2053,1844,1835,2184,2406,2625,2906,2810,2739,2951,2885,3395,3900,3822,3659,3415,4011
Europe,Georgia,Emigration,1,3,3,0,0,4,2,7,3,3,3,7,2,2,5,20,21,25,26,15,32,37,39,60,58,248,193,237
Europe,Gibraltar,Emigration,0,4,0,0,0,0,4,3,4,0,4,1,6,2,2,1,4,1,0,3,6,0,0,4,4,4,1,1
Europe,Greece,Emigration,569,596,440,563,450,465,484,595,614,696,668,826,691,812,928,941,1085,1435,1853,1897,1758,1720,1782,2018,2073,2679,2414,2720
Europe,Hungary,Emigration,186,237,255,297,399,291,350,329,382,517,415,552,523,697,985,1220,1493,1731,1969,2019,2032,2069,2258,1905,2153,2135,1986,2174
Europe,Ireland,Emigration,583,794,586,714,470,421,411,470,393,481,412,481,398,380,405,466,471,535,523,528,548,652,698,772,820,949,953,1035
Europe,Iceland,Emigration,50,44,32,47,49,51,69,50,62,65,99,69,74,98,79,75,94,107,113,67,79,104,118,115,108,133,106,75
Europe,Italy,Emigration,876,1114,920,995,1051,983,1042,1207,1317,1262,1167,1414,1251,1292,1592,1750,2031,2357,2479,2783,3102,3319,3967,4409,4635,5194,4524,5336
Europe,Yugoslavia (old),Emigration,988,1326,1257,886,1004,1331,1259,1658,2064,2036,1765,1700,1283,1185,1168,1429,1445,1610,1659,1789,1615,1520,1411,1358,1215,0,0,0
Europe,Channel Islands,Emigration,1,4,0,4,0,0,1,0,0,1,2,3,1,4,-1,4,8,3,4,1,3,15,6,14,17,8,8,10
Europe,Kazakhstan,Emigration,0,1,1,1,0,0,1,6,4,9,14,4,10,2,5,16,13,20,21,27,33,48,64,89,69,227,182,246
Europe,Kyrgyzstan,Emigration,0,0,0,0,0,0,2,0,3,4,4,3,6,-1,0,1,0,1,6,6,7,19,8,13,13,34,29,36
Europe,Kosovo,Emigration,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,1,3,3,5,119,108,122
Europe,Croatia,Emigration,1,3,6,3,4,9,1,2,5,8,12,5,6,10,1,6,7,18,9,23,37,63,115,111,186,506,514,652
Europe,Latvia,Emigration,4,12,10,18,13,16,20,18,19,33,55,63,68,81,129,234,396,653,684,781,772,770,660,872,883,990,998,1035
Europe,Liechtenstein,Emigration,0,0,0,0,1,1,0,1,0,1,1,2,0,0,1,1,1,3,0,1,3,3,2,6,2,3,3,4
Europe,Lithuania,Emigration,8,12,19,19,22,30,37,31,35,43,104,149,133,166,210,292,447,658,859,827,700,731,746,832,1039,1247,1061,1178
